stripped,original
constance b. kunin,"Constance
  B. Kunin"
marshall bankfirst; marshall field's gives; may department stores company foundation,Marshall BankFirst; Marshall Field's Gives; May Department Stores Company Foundation
mcknight foundation,McKnight Foundation
minnesota state arts board,the Minnesota State Arts Board
minnesota state legislature,Minnesota State Legislature
national endowment for arts,the National Endowment for the Arts
national endowment for arts,the National Endowment for the Arts
navarre corporation,Navarre Corporation
debbie reynolds; st. paul travelers foundation,Debbie Reynolds; St. Paul Travelers Foundation
target foundation,Target Foundation
gertrude sexton thompson charitable trust (george r. a. johnson),"Gertrude Sexton Thompson Charitable Trust (George R. A. Johnson,"
james r. thorpe foundation,James R. Thorpe Foundation
toro foundation,Toro Foundation
serene and christopher warren,Serene and Christopher Warren
w. m. foundation,W. M. Foundation
xcel energy foundation,Xcel Energy Foundation
bush foundation,the Bush Foundation
patrick and aimee butler family foundation,the Patrick and Aimee Butler Foundation
driscoll foundation,the Driscoll Foundation
jerome foundation,the Jerome Foundation
mcknight foundation,the McKnight Foundation
national endowment for arts,the National Endowment for the Arts
target foundation,the Target Foundation
minnesota state arts board,Minnesota State Arts Board
wells fargo foundation minnesota,the Wells Fargo Foundation Minnesota
dayton hudson foundation for dayton's and target stores,"Dayton Hudson
  Foundation for Dayton's and Target Stores"
general mills foundation,General Mills Foundation
honeywell foundation,Honeywell Foundation
knight foundation,Knight Foundation
mcknight foundation,The McKnight Foundation
andrew w. mellon foundation,"Andrew W. Mellon
  Foundation"
minnesota state arts board,Minnesota State Arts Board
minnesota state legislature,the Minnesota State Legislature
national endowment for arts,the National Endowment for the Arts
i. a. o'shaughnessy foundation,"I. A. O'Shaughnessy
  Foundation"
piper family fund of minneapolis foundation,Piper Family Fund of the Minneapolis Foundation
"piper jaffray companies, inc.","Piper Jaffray Companies, Inc."
star tribune/cowles media company,Star Tribune/Cowles Media Foundation
surdna foundation,Surdna Foundation
james r. thorpe foundation,"James R. Thorpe
  Foundation"
unity avenue foundation,Unity Avenue Foundation
lila wallacereader's digest literary publishers marketing dev ent program,"Lila Wallace-Reader's Digest Literary Publishers Marketing
  Dev ent Program"
council of literary magazines and small presses,the Council of Literary Magazines and Small Presses;
lila wallace reader's digest fund,"Lila-Wallace Reader's
  Digest Fund"
creation and presentation programs of national endowment for arts,"Creation and Presentation Programs of the National
  Endowment for the Arts"
ford bell foundation,Ford Bell Foundation
bush foundation,Bush Foundation
general mills foundation,General Mills Foundation
honeywell foundation,Honeywell Foundation
jerome foundation,Jerome Foundation
mcknight foundation,McKnight Foundation
minnesota state arts board,Minnesota State Arts Board
minnesota state legislature,Minnesota State Legislature
norwest foundation,Norwest Foundation
norwest bank minnesota,Norwest Bank Minnesota
norwest investment management and trust,Norwest Investment Management
oswald family foundation,Oswald Family Foundation
ritz foundation,"Ritz
  Foundation"
st. paul companies,"St. Paul
  Companies, Inc."
star tribune foundation,Star Tribune Foundation
"dayton's, mervyn's, and target stores through dayton hudson foundation","Dayton's, Mervyn's, and
  Target"
target foundation,the Target Foundation
u.s. bancorp piper jaffray foundation,"U.S. Bancorp Piper Jaffray
  "
national endowment for arts,the National Endowment for the Arts
ford bell foundation,Ford Bell Foundation
bush foundation,Bush Foundation
dayton hudson foundation,Dayton Hudson Foundation
target,Target
general mills foundation,General Mills Foundation
honeywell foundation,"Honeywell
  Foundation"
jerome foundation,Jerome Foundation
mcknight foundation,McKnight Foundation
minnesota state arts board,Minnesota State Arts Board
minnesota state legislature,the Minnesota State Legislature
norwest foundation,Norwest Foundation
norwest bank minnesota,Norwest Bank Minnesota
oswald family foundation,"Oswald Family
  Foundation"
ritz foundation,Ritz Foundation
minneapolis foundation,the Minneapolis Foundation
st. paul companies,"St. Paul Companies, Inc."
u.s. bancorp piper jaffray foundation,U.S. Bancorp Piper Jaffray Foundation
first bank system foundation,"The First
  Bank System Foundation"
jerome foundation,the Jerome Foundation
minnesota state legislature,"the Minnesota State
  Legislature"
mcknight foundation,"the McKnight Foun-
  "
united arts fund,the United Arts Fund
arts development fund of united arts council,the Arts Development Fund
national endowment for arts,the National Endowment for the Arts
dayton hudson foundation for dayton's and target stores,"The Dayton
  Hudson Foundation for Dayton's and Target Stores"
jerome foundation,the Jerome Foundation
minnesota state legislature,the Minnesota State Legisla-
mcknight foundation,the McKnight Foundation
united arts,United Arts
first bank system foundation,the First Bank System Foundation
dayton hudson foundation,the Dayton Hudson Foundation
for dayton's and target stores,for Dayton's and Target Stores
united arts,United Arts
through arts development,"through the Arts Development
  "
national endowment for arts,the National Endowment for the Arts
arts development fund of united arts council,the Arts Development Fund of United Arts
dayton hudson foundation for dayton's and target stores,"the Dayton
  Hudson Foundation for Daytons and Target stores"
first bank systems,The First Bank Systems
jerome foundation,the Jerome Foundation
metropolitan regional arts council with special assistance,"the Metropolitan Regional Arts Council with Special
  Assistance"
mcknight foundation,the McKnight Foundation
national endowment for arts,the National Endowment for the Arts
council on arts,Council on the Arts
dayton hudson,"The Dayton Hudson
  "
target,Target
first bank system foundation,The First Bank System Foundation
jerome foundation,the Jerome Foundation
metropolitan regional arts council,the Metropolitan Regional Arts Council
minnesota state legislature,the Minnesota State Legislature
mcknight foundation,McKnight Foundation
arts development fund of united arts council,the Arts Development Fund of United Arts
national endowment for arts,the National Endowment for the Arts
dayton hudson foundation for dayton's and target stores,"the Dayton Hudson Founda-
  tion for Dayton's and Target Stores"
jerome foundation,"the Jerome Founda-
  tion"
arts development fund of united arts council,the Arts Development Fund of United Arts
first bank system foundation's small arts funding program,"the First Bank System
  Foundation's Small Arts Funding Program"
dayton hudson foundation,the Dayton Hudson Foundation
target,Target
jerome foundation,the Jerome Foundation
arts development fund of united arts council,"the
  Arts Development Fund of United Arts"
national endowment for arts,Endowment for the Arts
minnesota state arts board,the Minnesota State Arts Board
national endowment for arts,the National Endowment for the Arts
dayton hudson foun,the Dayton Hudson Foun-
target,Target
first bank system foundation,the First Bank System Foundation
jerome foundation,Jerome Foundation
minnesota state arts board,the Minnesota State Arts Board
minnesota state legislature,the Minnesota State Legislature
through minnesota state arts board,through the Minnesota State Arts Board
arts de,the Arts De-
united arts,United Arts
eugene c. sit and gail v. sit founation,the Eugene C. Sit and Gail V. Sit Founation
national endowment for arts,the National Endowment for the Arts
arts development fund of united arts council,the Arts Development Fund
united arts,United Arts
dayton hudson foundation,the Dayton Hudson Foundation
target,Target
general mills foundation,the General Mills Foundation
jerome foundation,Jerome Foundation
minnesota state arts board,"the Minnesota State
  Arts"
minnesota state legislature,the Minnesota State Legislature
national endowment for arts,the National Endowment for the Arts
mcknight foundation,"McKnight Foun-
  "
minnesota state arts board,the Minnesota State Arts Board
northwest area foundation,the Northwest Area Foun-
star tribune/cowles media company,Star Tribune/Cowles Media Company
"arts foundation of michigan, bay de noc com","the Arts Foundation of Michigan, Bay de Noc Com-"
michigan council for arts,the Michigan Council for the Arts
national endowment for arts,the National Endowment for the Arts
star tribune foundation,/Star Tribune Foundation
dayton hudson foundation,the Dayton Hudson Foundation
target,Target
first bank system foundation,the First Bank System Foundation
i. a. o'shaughnessy foundation,the I. A. O'Shaughnessy Foundation
jerome foundation,"the Jerome Founda-
  tion"
minnesota state arts board,the Minnesota State Arts Board
northwest area foundation,the Northwest Area Foundation
dayton hudson foundation,the Dayton Hudson Foundation
target,Target
jerome foundation,the Jerome Foundation
minnesota state arts board,"the Minnesota
  State Arts Board"
minnesota state legislature,the Minnesota State Legislature
mcknight foundation,McKnight Foundation Award
minnesota state arts board,the Minnesota State Arts Board
northwest area foundation,Northwest Area Foundation
national endowment for arts,the National Endowment for the Arts
arts development fund of united arts council,the Arts Development Fund
united arts,United Arts
dayton hudson foundation,the Dayton Hudson Foundation
target,Target
bank system foundation,Bank System Foundation
general mills foundation,the General Mills Foundation
jerome foundation,the Jerome Foundation
minnesota state arts board,Minnesota State Arts Board
minnesota state legislature,"the Minnesota State
  Legislature"
mcknight foundation,McKnight Foundation Award
minnesota state arts board,"the Minnesota State Arts
  "
northwest area foundation,the Northwest Area Foundation
national endowment for arts,the National Endowment for the Arts
arts development fund of united arts council,the Arts Development Fund of United Arts
dayton hudson foundation for dayton's and target stores,the Dayton Hudson Foundation for Daytons and Target Stores
first bank system foundation,"the First Bank System
  Foundation"
general mills foundation,the General Mills Foundation
jerome foundation,Jerome Foundation
cowles media company,Cowles Media Company
minnesota state arts board,the Minnesota State Arts Board
minnesota state legislature,the Minnesota Legislature
mcknight foundation,McKnight Foundation Award
minnesota state arts board,"the Minne-
  sota State Arts Board"
northwest area foundation,the Northwest Area Foundation
national endowment for arts,the National Endowment for the Arts
star tribune foundation,/ Star Tribune Foundation
dayton hudson foundation,the Dayton Hudson Foundation
target,Target
first bank system foundation,the First Bank System Foundation
i. a. o'shaughnessy foundation,the I.A. O'Shaughnessy Foundation
jerome foundation,"the Jerome
  Foundation"
minnesota state arts board,the Minnesota State Arts Board
minnesota state legislature,the Minnesota Legislature
northwest area foundation,the Northwest Area Foundation
national endowment for arts,the National Endowment for the Arts
cowles media/star tribune,Cowles Media/Star
dayton hudson foundation,the Dayton Hudson Foundation
target,Target
first bank system foundation,the First Bank System Foundation
general mills foundation,the General Mills Foundation
jerome foundation,the Jerome Foundation
minnesota state arts board,"the Minnesota State
  Arts"
minnesota state legislature,the Minnesota Legislature
northwest area foundation,"the North-
  west Area Foundation"
national endowment for arts,National Endowment for the Arts
cowles media/star tribune,Cowles Media / Star Tribune Foundation
dayton hudson foundation,"the Dayton
  Hudson Foundation"
target,Target
ecolab foundation,Ecolab Foundation
first bank system foundation,"the First Bank
  System Foundation"
general mills foundation,the General Mills Foundation
i. a. o'shaughnessy foundation,the I.A. O'Shaughnessy Foundation
jerome foundation,Jerome Foundation
mcknight foundation,The McKnight Foundation
andrew w. mellon foundation,the Andrew W. Mellon Foundation
minnesota state arts board,Minnesota State Arts Board
minnesota state legislature,the Minnesota Legislature
northwest area foundation,Northwest Area Foundation
national endowment for arts,the National Endowment for the Arts
cowles media/star tribune,Cowles Media / Star Tribune
dayton hudson foundation,the Dayton Hudson Foundation
target,Target
bank system foundation,Bank System Foundation
general mills foundation,the General Mills Foundation
jerome foundation,the Jerome Foundation
andrew w. mellon foundation,Andrew W. Mellon Foundation
minnesota state arts board,the Minnesota State Arts Board
minnesota state legislature,the Minnesota Legislature
northwest area foundation,the Northwest Area Foundation
national endowment for arts,the National Endowment for the Arts
star tribune foundation,/ Star Tribune Foundation
dayton hudson foundation,the Dayton Hudson Foundation
target,Target
first bank system foundation,the First Bank System Foundation
i. a. o'shaughnessy foundation,the I.A. O'Shaughnessy Foundation
jerome foundation,"the Jerome
  Foundation"
andrew w. mellon foundation,the Andrew W. Mellon Foundation
minnesota state arts board,the Minnesota State Arts
minnesota state legislature,the Minnesota Legislature
northwest area foundation,"the North-
  west Area Foundation"
bush foundation,The Bush Foundation
national endowment for arts,the National Endowment for the Arts
star tribune/cowles media company,the Star Tribune/Cowles Media
dayton hudson foundation,the Dayton Hudson Foundation
target,Target
general mills foundation,the General Mills Foundation
jerome foundation,the Jerome Foundation
minnesota state arts board,"the Minnesota State
  Arts"
minnesota state legislature,the Minnesota State Legislature
mcknight foundation,"McKnight
  Foundation"
minnesota state arts board,the Minnesota State Arts Board
andrew w. mellon foundation,"the Andrew W. Mellon
  Foundation"
northwest area foundation,the Northwest Area Foundation
first bank systems foundation,the First Bank Systems Foundation
dayton hudson foundation for dayton's and target stores,"the Dayton Hudson Founda-
  tion for Dayton's and Target Stores"
united arts,United Arts
through arts,through the Arts
national endowment for arts,the National Endowment for the Arts
first bank system foun,"The First Bank System Foun-
  "
jerome foundation,the Jerome Foundation
metropolitan regional arts council,the Metropolitan Regional Arts Council
minnesota state legislature,the Minnesota State legislature
mcknight foundation,McKnight Foundation
united arts,the United Arts
"k.rsw newsletter (worthington,","K.RSW Newsletter (Worthington,"
new jersey poetry jour nal,"The New Jersey Poetry Jour-
  nal"
corporation of yaddo and ragdale founda tion,"the Corporation of Yaddo and the Ragdale Founda-
  tion"
minnesota state arts board,the Minnesota State Arts Board
mcknight foundation,the McKnight Fon-
dayton hudson foundation for dayton's and target stores,Dayton Hudson Foundation for Dayton's and Target Stores
general mills foundation,General Mills Foundation
honeywell foundation,Honeywell Foundation
mcknight foundation,The McKnight Foundation
andrew w. mellon foundation,"Andrew
  W. Mellon Foundation"
minnesota state arts board,the Minnesota State Arts Board
minnesota state legislature,"the Minnesota
  State Legislature"
national endowment for arts,the National Endowment for the Arts
northwest area foundation,Northwest Area Foundation
i. a. o'shaughnessy foundation,I. A. O'Shaughnessy Foundation
"piper jaffray companies, inc.",Piper Jaffray Companies
minneapolis foundation,the Minneapolis Foundation
star tribune/cowles media company,"Star Tribune/Cowles Media
  Foundation"
surdna foundation,Surdna Foundation
lila wallace reader's digest literary publishers marketing development program,"Lila Wallace-Reader's Digest Literary Publishers Marketing
  Development Program"
council of literary magazines,"the Council of Literary Magazines
  "
bush foundation,The Bush Foundation
national endowment for arts,the National Endowment for the Arts
arts development fund of united arts council,the Arts Development Fund
united arts,United Arts
dayton hudson foundation,the Dayton Hudson Foundation
target,Target
bank system foundation,Bank System Foundation
general mills foundation,the General Mills Foundation
jerome foundation,the Jerome Foundation
minnesota state arts board,Minnesota State Arts Board
minnesota state legislature,the Minnesota State Legislature
mcknight foundation,McKnight Foundation Award
minnesota state arts board,the Minnesota State Arts Board
northwest area foundation,Northwest Area Foundation
national endowment for arts,the National Endowment for the Arts
cowles media/star tribune,Cowles Media / Star Tribune
dayton hudson foundation,the Dayton Hudson Foundation
target,Target
ecolab foundation,Ecolab Foundation
first bank system foundation,First Bank System Foundation
general mills foundation,the General Mills Foundation
honeywell foundation,the Honeywell Foundation
i. a. o'shaughnessy foundation,I. A. O'Shaughnessy Foundation
jerome foundation,the Jerome Foundation
mcknight foundation,The McKnight Foundation
andrew w. mellon foundation,Andrew W. Mellon Foundation
minnesota state arts board,the Minnesota State Arts Board
minnesota state legislature,the Minnesota State Legislature
northwest area foundation,the Northwest Area Foundation
lila wallace reader's digest literary publishers marketing development program,"the Lila Wallace-Reader's
  Digest Literary Publishers Marketing Development Program"
national endowment for arts,the National Endowment for the Arts
cowles media/star tribune,Cowles Media / Star
dayton hudson foundation,the Dayton Hudson Foundation
target,Target
ecolab foundation,Ecolab Foundation
first bank system foundation,the First Bank System Foundation
i. a. o'shaughnessy foundation,the I. A. O'Shaughnessy Foundation
jerome foundation,"the Jerome Founda-
  tion"
mcknight foundation,The McKnight Foundation
andrew w. mellon foundation,the Andrew W. Mellon Foundation
minnesota state arts board,Minnesota State Arts Board
minnesota state legislature,"the Minnesota
  Legislature"
northwest area foundation,the Northwest Area Foundation
stephen mitchell (random house,Stephen Mitchell (Random House
dayton hudson foundation,the Dayton Hudson Foundation
target,Target
ecolab foundation,Ecolab Foundation
general mills foundation,General Mills Foundation
honeywell foundation,Honeywell Foundation
knight foundation,Knight Foundation
mcknight foundation,"The McKnight
  Foundation"
andrew w. mellon foundation,Andrew W. Mellon Foundation
minnesota state arts board,Minnesota State Arts Board
minnesota state legislature,the Minnesota State Legislature
musser fund,Musser Fund
national endowment for arts,the National Endowment for the Arts
i. a. o'shaughnessy foundation,I. A. O'Shaughnessy Foundation
piper family fund of minneapolis foundation,"Piper Family Fund of the Minneapolis
  Foundation"
"piper jaffray companies, inc.","Piper Jaffray Companies, Inc."
minneapolis foundation,the Minneapolis Foundation
st. paul companies,The St. Paul Companies
star tribune/cowles media company,"Star Tribune/Cowles
  Media Foundation"
surdna foundation,Surdna Foundation
james r. thorpe foundation,James R. Thorpe Foundation
lila wallace reader's digest literary publishers marketing development program,"Lila Wallace-Reader's Digest Literary Publishers Marketing
  Development Program"
"eines mittages, mitte juni","Eines Mittages, Mitte
  Juni"
national endowment for arts,the National Endowment for the Arts
arts development fund of united arts council,"the Arts Develop-
  ment Fund of United Arts"
dayton hudson foundation,the Dayton Hudson Foundation
target,Target
first bank systems foundation,the First Bank Systems Foundation
general mills foundation,"the General Mills Founda-
  tion"
star tribune/cowles media company,the Star-Tribune/Cowles Media Company
minnesota state arts board,"the Min-
  nesota State Arts Board"
minnesota state legislature,"the Minnesota State
  Legislature"
mcknight foundation,McKnight Foundation Award
minnesota state arts board,"the Minnesota
  State Arts Board"
northwest area foundation,the Northwest Area Foundation
national endowment for arts,the National Endowment for the Arts
cowles media/star tribune,Cowles Media / Star Tribune Foundation
dayton hudson foundation,the Dayton Hudson Foundation
for dayton's and target stores,for Dayton's and Target Stores
ecolab foundation,Ecolab Foundation
first bank system foundation,"the First Bank System
  Foundation"
general mills foundation,the General Mills Foundation
honeywell foundation,the Honeywell Foundation
i. a. o'shaughnessy foundation,the I. A. O'Shaughnessy Foundation
jerome foundation,the Jerome Foundation
mcknight foundation,"The McKnight
  Foundation"
andrew w. mellon foundation,the Andrew W. Mellon Foundation
minnesota state arts board,the Minnesota State Arts
minnesota state legislature,the Minnesota State Legislature
northwest area foundation,Northwest Area Foundation
beverly j. and john a. rollwagen fund of minneapolis foundation,"the Beverly J. and John A. Rollwagen Fund of
  The Minneapolis Foundation"
lila wallacereader's digest literary,the Lila Wallace-Reader's Digest Literary
national endowment for arts,the National Endowment for the Arts
northwest area foundation,"the Northwest Area Founda-
  tion"
dayton hudson foundation,the Dayton Hudson Foundation
jerome foundation,the Jerome Foundation
minnesota state arts board,the Minnesota State Arts Board
minnesota state legislature,the Minnesota State Legislature
national endowment for,"the National Endowment for the
  "
dayton hudson foundation for dayton's and target stores,"Dayton
  Hudson Foundation for Dayton's and Target Stores"
ecolab foundation,Ecolab Foundation
general mills foundation,General Mills Foundation
honeywell foundation,Honeywell Foundation
knight foundation,Knight Foundation
mcknight foundation,The McKnight Foundation
musser fund,Musser Fund
national endowment for arts,"the National Endowment for
  the Arts"
i. a. o'shaughnessy foundation,I. A. O'Shaughnessy Foundation
piper family fund of minneapolis foundation,Piper Family Fund of the Minneapolis Foundation
star tribune/cowles media company,"Star Tribune/Cowles Media
  Foundation"
surdna foundation,Surdna Foundation
james r. thorpe foundation,James R. Thorpe Foundation
unity avenue foundation,Unity Avenue Foundation
council of literary magazines and presses,the Council of Literary Magazines and Presses;
dain bosworth foundation,Dain Bosworth Foundation
target,Target
ecolab foundation,Ecolab Foundation
general mills foundation,General Mills Foundation
honeywell foundation,Honeywell Foundation
jerome foundation,Jerome Foundation
knight foundation,Knight Foundation
mcknight foundation,The McKnight Foundation
andrew w. mellon foundation,"Andrew W. Mellon
  Foundation"
minnesota state arts board,Minnesota State Arts Board
minnesota state legislature,Minnesota State Legislature
musser fund,Musser Fund
national endowment for arts,the National Endowment for the Arts
i. a. o'shaughnessy foundation,I. A. O'Shaughnessy Foundation
piper family fund of minneapolis foundation,"Piper
  Family Fund of the Minneapolis Foundation"
"piper jaffray companies, inc.","Piper Jaffray Companies, Inc."
minneapolis foundation,the Minneapolis Foundation
cowles media foundation,Cowles Media Foundation
surdna foundation,Surdna Foundation
james r. thorpe foundation,"James R. Thorpe
  Foundation"
unity avenue foundation,Unity Avenue Foundation
lila wallace reader's digest literary publishers marketing development program,"Lila Wallace-Reader's Digest Literary
  Publishers Marketing Development Program"
bush foundation,the Bush Foundation
mary livingston griggs and,the Mary Livingston Griggs and
dayton hudson foundation,the Dayton Hudson Foundation
target,Target
jerome foundation,the Jerome Foundation
national endowment for arts,the National Endowment for the Arts
jerome foundation,"the Jerome
  Foundation"
minnesota state arts board,the Minnesota State Arts Board
minnesota state legislature,Minnesota State Legislature
dayton hudson foundation,the Dayton Hudson Foundation
for dayton's and target stores,for Dayton's and Target Stores
first bank system foundation,First Bank System Foundation
general mills foundation,"General Mills
  Foundation"
honeywell foundation,Honeywell Foundation
mcknight foundation,The McKnight Foundation
andrew w. mellon foundation,"Andrew W. Mellon
  Foundation"
northwest area foundation,Northwest Area Foundation
i. a. o'shaughnessy foundation,I. A. O'Shaughnessy Foundation
cowles media foundation,Cowles Media Foundation
surdna foundation,Surdna Foundation
lila wallace reader's digest literary publishers marketing development program,"Lila Wallace-Reader's Digest
  Literary Publishers Marketing Development Program"
star tribune/cowles media company,the Star Tribune/Cowles Media Foundation
dayton hudson foundation for dayton's and target stores,Dayton Hudson Foundation for Dayton's and Target Stores
bank system foundation,Bank System Foundation
general mills foundation,General Mills Foundation
honeywell foundation,Honeywell Foundation
jerome foundation,Jerome Foundation
mcknight foundation,The McKnight Foundation
andrew w. mellon foundation,Andrew W. Mellon Foundation
minnesota state arts board,Minnesota State Arts Board
minnesota state legislature,"the Minnesota State
  Legislature"
challenge and literature programs of national endowment for arts,"Literature and Challenge Programs of the National Endowment for
  the Arts"
northwest area foundation,Northwest Area Foundation
i. a. o'shaughnessy foundation,I. A. O'Shaughnessy Foundation
"piper jaffray companies, inc.","Piper
  Jaffray Companies, Inc."
surdna foundation,Surdna Foundation
council of literary magazines and small presses,"the Council of Literary Magazines and Small
  Presses"
r. thorpe foundation,R. Thorpe Foundation
national endowment for arts,the National Endowment for the Arts
cowles media/star tribune,Cowles Media / Star Tribune Foundation
dayton hudson foundation for dayton's and target stores,Dayton Hudson Foundation for Dayton's and Target Stores
first bank system foundation,"the First Bank System
  Foundation"
general mills foundation,the General Mills Foundation
i. a. o'shaughnessy foundation,the I.A. O'Shaughnessy Foundation
jerome foundation,Jerome Foundation
andrew w. mellon foundation,the Andrew W. Mellon Foundation
minnesota state arts board,the Minnesota State Arts Board
minnesota state legislature,the Minnesota Legislature
northwest area foundation,the Northwest Area Foundation
first bank system foundation,"The First
  Bank System Foundation"
jerome foundation,the Jerome Foundation
regional arts council,Regional Arts Council
minnesota state legislature,"the Minnesota State
  Legislature"
mcknight foundation,the McKnight Foundation
united arts fund,the United Arts Fund
bush foun,"the Bush Foun-
  "
minnesota state arts board,the Minnesota State Arts Board
ragdale foundation,the Ragdale Foundation
wheatland foundation,the Wheatland Foundation
national endowment for arts,the National Endowment for the Arts
star tribune foundation,/ Star Tribune Foundation
dayton hudson foundation,the Dayton Hudson Foundation
target,Target
ecolab foundation,Ecolab Foundation
first bank system foundation,the First Bank System Foundation
i. a. o'shaughnessy foundation,the I. A. O'Shaughnessy Foundation
jerome foundation,the Jerome Foundation
mcknight foundation,The McKnight Foundation
andrew w. mellon foundation,the Andrew W. Mellon Foundation
minnesota state arts board,"the Minnesota State
  Arts"
minnesota state legislature,the Minnesota Legislature
northwest area foundation,"the Northwest
  Area Foundation"
direccion general del libro y bibliotecas del,"the Direccion General del Libro y Bibliotecas del
  "
national endowment for arts,National Endowment for the Arts
dayton hudson foundation,Dayton Hudson Foundation
target,Target
general mills foundation,General Mills Foundation
honeywell foundation,Honeywell Foundation
jerome foundation,Jerome Foundation
mcknight foundation,McKnight Foundation
andrew w. mellon foundation,Andrew W. Mellon Foundation
minnesota state arts board,Minnesota State Arts Board
minnesota state legislature,the Minnesota State Legislature
northwest area foundation,Northwest Area Foundation
star tribune/cowles media company,Star Tribune/Cowles Media Foundation
surdna foundation,Surdna Foundation
dayton hudson foundation,the Dayton Hudson Foundation
target,Target
ecolab foundation,Ecolab Foundation
general mills foundation,General Mills Foundation
honeywell foundation,Honeywell Foundation
knight foundation,Knight Foundation
mcknight foundation,The McKnight Foundation
minnesota state arts board,Minnesota State Arts Board
minnesota state legislature,the Minnesota State Legislature
musser fund,Musser Fund
national endowment for arts,the National Endowment for the Arts
piper family fund of minneapolis foundation,Piper Family Fund
"piper jaffray companies, inc.","Piper Jaffray Companies, Inc."
minneapolis foundation,the Minneapolis Foundation
st. paul companies,"St. Paul Companies, Inc."
star tribune/cowles media company,Star Tribune/Cowles Media Foundation
surdna foundation,Surdna Foundation
james r. thorpe foundation,"James R. Thorpe
  Foundation"
unity avenue foundation,Unity Avenue Foundation
lila wallace reader's digest literary publishers marketing development program,"Lila Wallace-Reader's Digest Literary
  Publishers Marketing Development Program"
mcknight foundation,The McKnight Foundation
cowles media foundation,Cowles Media Foundation
dayton hudson foundation,Dayton Hudson Foundation
target,Target
dayton hudson foundation,the Dayton Hudson Foundation
target,Target
ecolab foundation,Ecolab Foundation
general mills foundation,General Mills Foundation
honeywell foundation,Honeywell Foundation
jerome foundation,Jerome Foundation
james l. knight foundation,James L. Knight Foundation
mcknight foundation,The McKnight Foundation
andrew w. mellon foundation,Andrew W. Mellon Foundation
minnesota state arts board,Minnesota State Arts Board
minnesota state legislature,the Minnesota State Legislature
musser fund,Musser Fund
national endowment for arts,Endowment for the Arts
i. a. o'shaughnessy foundation,I. A. O'Shaughnessy Foundation
"piper jaffray companies, inc.","Piper Jaffray Companies, Inc."
piper family fund of minneapolis foundation,Piper Family Fund
minneapolis foundation,the Minneapolis Foundation
st. paul companies,"St. Paul Companies, Inc."
star tribune/cowles media company,Star Tribune/Cowles Media Foundation
surdna foundation,Surdna Foundation
james r. thorpe foundation,James R. Thorpe Foundation
unity avenue foundation,Unity Avenue Foundation
lila wallace reader's digest literary publishers marketing development program,"Lila Wallace-Reader's Digest Literary Publishers
  Marketing Development Program"
council of literary magazines and presses,the Council of Literary Magazines and Presses;
ragdale foundation,the Ragdale Foundation
creative arts,the Creative Arts
dayton hudson foundation,the Dayton Hudson Foundation
target,Target
ecolab foundation,Ecolab Foundation
general mills foundation,General Mills Foundation
honeywell foundation,Honeywell Foundation
knight foundation,Knight Foundation
mcknight foundation,"The McKnight
  Foundation"
andrew w. mellon foundation,Andrew W. Mellon Foundation
minnesota state arts board,Minnesota State Arts Board
minnesota state legislature,the Minnesota State Legislature
musser fund,Musser Fund
national endowment for arts,the National Endowment for the Arts
i. a. o'shaughnessy foundation,I. A. O'Shaughnessy Foundation
piper family fund of minneapolis foundation,"Piper Family Fund of the Minneapolis
  Foundation"
"piper jaffray companies, inc.","Piper Jaffray Companies, Inc."
minneapolis foundation,the Minneapolis Foundation
st. paul companies,"The St. Paul Companies, Inc."
star tribune/cowles media company,"Star Tribune/Cowles
  Media Foundation"
surdna foundation,Surdna Foundation
james r. thorpe foundation,James R. Thorpe Foundation
lila wallace reader's digest literary publishers marketing development program,"Lila Wallace-Reader's Digest Literary Publishers Marketing
  Development Program"
dayton hudson foundation,the Dayton Hudson Foundation
target,Target
ecolab foundation,Ecolab Foundation
general mills foundation,General Mills Foundation
honeywell foundation,Honeywell Foundation
jerome foundation,Jerome Foundation
knight foundation,Knight Foundation
mcknight foundation,"The McKnight
  Foundation"
andrew w. mellon foundation,Andrew W. Mellon Foundation
minnesota state arts board,Minnesota State Arts Board
minnesota state legislature,the Minnesota State Legislature
musser fund,Musser Fund
national endowment for arts,the National Endowment for the Arts
i. a. o'shaughnessy foundation,I. A. O'Shaughnessy Foundation
piper family fund of minneapolis foundation,Piper Family Fund
minneapolis foundation,the Minneapolis Foundation
"piper jaffray companies, inc.",Piper Jaffray Companies
st. paul companies,"The St. Paul Companies, Inc."
star tribune/cowles media company,Star Tribune/Cowles Media Foundation
surdna foundation,Surdna Foundation
james r. thorpe foundation,James R. Thorpe Foundation
unity avenue foundation,Unity Avenue Foundation
council of literary magazines and,the Council of Literary Magazines and
stephen simpson/fpg international,Stephen Simpson/FPG International
dayton hudson foundation,the Dayton Hudson Foundation
target,Target
ecolab foundation,"Ecolab
  Foundation"
general mills foundation,General Mills Foundation
honeywell foundation,Honeywell Foundation
jerome foundation,Jerome Foundation
knight foundation,Knight Foundation
mcknight foundation,The McKnight Foundation
andrew w. mellon foundation,"Andrew
  W. Mellon Foundation"
minnesota state arts board,Minnesota State Arts Board
minnesota state legislature,Minnesota State Legislature
musser fund,Musser Fund
national endowment for arts,the National Endowment for the Arts
i. a. o'shaughnessy foundation,I. A. O'Shaughnessy Foundation
piper family fund of minneapolis foundation,"Piper
  Family Fund of the Minneapolis Foundation"
"piper jaffray companies, inc.","Piper Jaffray Companies, Inc."
