authority_name,aka,count
first bank system foundation,"['Bank System Foundation', 'Bank System Foundation', 'Bank System Foundation', 'Bank System Foundation', 'Bank System Foundation', 'the First Bank System Foundation', 'The First Bank System Foundation', 'the First Bank System Foundation', 'The First Bank System Foundation', 'the Mongolian Embassy has been produced with the aid of grants from the First Bank System Foundation', 'the First Bank System Foundation.', 'the First Bank System Foundation', 'the First Bank System Foundation', 'the First Bank System Foundation', 'the First Bank System Foundation', 'the First Bank System Foundation', 'the First Bank System Foundation', 'the First Bank System Foundation', 'the First Bank System Foundation', 'the First Bank System Foundation', 'the First Bank System Foundation', 'the First Bank System Foundation', 'the First Bank System Foundation', 'The First Bank System Foundation', 'the First Bank System Foundation', 'the First Bank System Foundation', 'the First Bank System Foundation', 'the First Bank System Foundation.', 'the First Bank Syster Foundation', 'the First Bank System Foundation', 'the First Bank System Foundation', 'the First Bank System Foundation', 'the First Bank System Foundation', 'the First Bank System Foundation', 'the First Bank Sy Foundation', 'the First Bank System Foundation', 'The First Bank System Foundation', 'the First Bank System Foundation', 'the First Bank System Foundation', 'The First\nBank System Foundation', 'the First Bank System Foundation', 'The First Bank Systems', 'The First Bank System Foundation', 'the First Bank System Foundation', 'the First Bank System Foundation', 'the First Bank System\nFoundation', 'the First Bank System Foundation', 'the First Bank System Foundation', 'the First Bank\nSystem Foundation', 'the First Bank System Foundation', 'the First Bank Systems Foundation', 'The First Bank System Foun-', 'First Bank System Foundation', 'the First Bank System Foundation', 'the First Bank Systems Foundation', 'the First Bank System\nFoundation', 'First Bank System Foundation', 'the First Bank System\nFoundation', 'The First\nBank System Foundation', 'the First Bank System Foundation', 'First Bank System Foundation', 'the First Bank Systems', 'the First Bank System Foundation', 'the First Bank System Foundation', 'the First Bank\nSystem Foundation', 'the First Bank System Foundation', 'the First Bank Systems Foundation', 'The First Bank System Foundation', 'the First Bank System Foundation', 'the First Bank System Foundation', 'the First Bank System Foundation', 'the First Bank System Foundation', 'the First Bank System Foundation', 'the First Bank System Foundation', 'The First\nBank System Foundation', 'the First Bank System\nFoundation', 'The First Bank System Foun-', 'the First Bank Systems\nFoundation', 'the First Bank Systems', 'The First Bank System Founda-\ntion', 'the First Bank System Foundation', 'the First Bank System Foundation', 'the First Bank System Foundation', 'the First Bank System Foundation', 'the First Bank System Foundation', 'the First Bank System Foundation', 'the First Bank System Foundation', 'the First Bank System\nFoundation', 'the First Bank System Foundation', 'the First Bank System Foundation', 'the First Bank System Foundation', 'the First Bank System Foundation', 'the First Bank System Foundation', 'the First Bank System Foundation', 'the First Bank System Foundation', 'the First Bank System Foundation', 'the First Bank System Foundation', 'the First Bank System\nFoundation', 'the First Bank System Foundation', 'the First Bank System Foundation']",100
bbc's night waves.,"[""BBC's Night Waves.""]",1
beim foundation,"['the Beim Foundation', 'Beim Foundation', 'Beim Foundation', 'Beim Foundation', 'the Beim Foundation', 'the Beim Foundation', 'the Beim Foundation', 'the Beim Foundation', 'the Beim Foundation', 'the Beim Foundation', 'the Beim Foundation', 'the Beim Foundation', 'the Beim Foundation', 'the Beim Foundation', 'the Beim Foundation', 'the Beim Foundation', 'the Beim Foundation', 'the Beim Foundation', 'the Beim Foundation', 'the Beim Foundation', 'the Beim Foundation', 'the Beim Foundation', 'the Beim Foundation', 'the Beim Foundation']",24
bell foundation,['Bell Foundation'],1
beloit fiction journal,['The Beloit Fiction Journal'],1
beverly j. and john a. rollwagen fund of minneapolis foundation,"['Beverly J. and John A. Rollwagen Fund of The Minneapolis', 'The Beverly J. and John A. Rollwagen Fund of The Minneapolis Foundation', 'Beverly J. And John A. Rollwagen Fund of The Minneapolis Foundation', 'Beverly J. and John A. Rollwagen Fund of The Minneapolis Foundation', 'Beverly J. and John A. Rollwagen Fund of the Minneapolis Foundation', 'The Beverly J. and John A. Rollwagen Fund of The Minneapolis Foundation', 'the Beverly J. and John A. Rollwagen Fund of the Minneapolis Foundation', 'Beverly J. and John A. Rollwagen Fund of The Minneapolis Foundation', 'the Beverly J. and John A. Rollwagen Fund of the Minneapolis Foundation', 'Beverly J. and John A. Rollwagen Fund of the Minneapolis Foundation', 'Beverly J. and John A. Rollwagen Fund of the Minneapolis Foundation', 'Beverly J. and John A. Rollwagen Fund of The Minneapolis Foundation', 'Beverly J. and John A. Rollwagen Fund of The Minneapolis Foundation', 'Beverly J. and John A. Rollwagen Fund of The Minneapolis Foundation', 'Beverly J. And John A. Rollwagen Fund of The Minneapolis Foundation', 'Beverly J. and John A. Rollwagen Fund of The Minneapolis Foundation', 'Beverly J. and John A. Rollwagen Fund of The Minneapolis Foundation', 'The Beverly J. and John A. Rollwagen Fund of the Minneapolis Foun- dation', 'Beverly J. and John A. Rollwagen Fund of The Minneapolis Foun- dation', 'The Beverly J. and John A. Rollwagen Fund of the Minneapolis Foundation', 'The Beverly J. and John\nA. Rollwagen Fund of The Minneapolis Foundation', 'the Beverly J. and John A. Rollwagen Fund of\nThe Minneapolis Foundation', 'the Beverly J. and John A. Rollwagen Fund of the Minneapolis Foun-', 'the Beverly J. and John A. Rollwagen Fund of the Minneapolis Foun-', 'the Beverly J. and John A. Rollwagen Fund of the Minneapolis Foundation', 'the Beverly J. and John A. Rollwagen Fund of the Minneapolis\nFoundation', 'the Beverly J. and John A. Rollwagen Fund of the Minneapolis Foundation', 'the Beverly J. and John A. Rollwagen Fund of the Minneapolis Foun-', 'the Beverly J. and John A. Rollwagen Fund of the Minneapolis Foun-', 'the Beverly J. and John A. Rollwagen Fund of the Minneapolis Foun-']",30
black woman speaks licensed,['The Black Woman Speaks\nLicensed'],1
bread loaf anthology of contemporary american poetry,['The Bread Loaf Anthology of Contemporary American Poetry'],1
british council for ir assistance through u.s.u.k. bicentennial exchange fellowship,['the British Council for their assistance through the U.S.-U.K. Bicentennial Exchange Fellowship'],1
buder family foundation,['the Buder Family Foundation'],1
